	1990-t	1990-h	1991-t	1991-h	1992-t	1992-h	1993-t	1993-h	1994-t	1994--h	1995-t	1995-h	1996-t	1996-h	1997-t	1997-h	1998-t	1998-h	1999-t	1999-h	2000-t	2000-h	2001-t	2001-h	2022-t	2002-h	2003-t	2003-h	2004-t	2004-h	2005-t	2005-h	2006-t	2006-h	2007-t	2007-h	2008-t	2008-h	2009-t	2009-h	2010-t	2010-h
La Libertad	5	0	2	0	2	0	2	0	9	0	5	2	2	0	2	1	3	1	4	0	2	2	9	1	5	0	2	1	1	0	7	2	1	0	6	0	3	1	4	1	6	0
Mapastepec	36	4	26	3	33	4	28	7	27	4	33	7	24	4	38	10	63	29	37	13	26	4	18	5	19	9	25	8	21	2	32	6	48	14	25	3	37	4	32	8	20	0
Las Margaritas	20	3	14	4	15	3	24	3	26	1	30	5	31	6	26	6	41	8	30	5	18	4	21	1	22	3	25	3	33	1	34	4	35	3	37	1	23	1	21	3	31	0
Mazapa de Madero	3	0	2	0	6	0	2	0	7	1	4	0	6	1	4	2	2	0	2	0	2	0	5	0	10	2	1	0	4	0	7	0	3	0	3	0	3	0	5	0	1	0
Mazatán	4	0	17	1	10	3	11	2	16	6	25	9	14	0	20	2	16	2	19	4	19	4	15	1	18	8	12	4	12	3	25	1	25	5	14	1	17	4	18	4	22	4
Metapa	3	0	6	1	1	0	4	0	8	0	7	1	4	0	2	1	2	0	6	1	5	0	2	0	5	0	2	0	1	0	2	0	7	1	6	0	2	0	6	0	3	1
Mitontic	4	2	8	7	3	2	2	1	12	2	3	1	5	4	6	5	3	0	4	2	4	2	1	0	5	2	4	0	4	1	5	1	4	1	5	0	2	0	3	0	1	0
Motozintla	20	2	32	6	17	6	23	5	35	9	33	11	33	4	24	7	73	21	31	11	40	7	26	2	24	7	32	10	42	7	37	2	42	7	34	0	30	3	27	8	28	1
Nicolás Ruíz	1	0	0	0	0	0	2	0	1	0	0	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	1	3	0
Ocosingo	25	5	44	13	45	21	42	12	54	30	52	16	43	21	54	22	45	21	40	15	43	9	46	3	38	17	34	8	40	7	43	4	57	9	45	5	43	6	43	14	59	6
Ocotepec	3	1	7	1	1	0	3	0	5	0	8	1	8	3	4	0	3	0	2	0	2	0	9	0	3	0	9	1	5	0	4	1	10	2	8	0	5	1	7	2	11	1
Ocozocoautla de Espinosa	30	4	34	3	20	3	20	1	50	17	38	20	36	8	49	8	34	14	44	16	38	8	32	3	26	3	26	9	27	1	27	2	48	15	43	3	48	4	40	6	40	3
Ostuacán	14	1	7	2	5	0	11	1	12	5	12	3	7	4	12	6	7	0	17	4	12	2	2	0	16	3	10	1	11	1	17	7	9	2	32	1	16	3	12	3	6	1
Osumacinta	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	4	0	0	0	2	0	0	0	1	0	4	1	0	0	4	0	1	0	0	0
Oxchuc	3	0	12	4	14	3	13	1	23	6	17	6	12	8	13	5	11	3	13	6	9	2	11	4	14	5	12	2	9	1	11	1	10	0	12	0	20	1	16	3	17	0
Palenque	28	1	34	3	32	2	56	7	47	13	47	9	65	18	74	16	62	28	46	20	50	14	51	3	49	15	41	11	67	10	51	11	67	18	47	4	51	5	50	6	51	5
Pantelhó	4	0	3	3	2	2	1	0	7	3	8	1	3	1	9	7	14	10	8	4	4	3	7	2	6	2	5	1	2	0	10	1	8	3	4	3	4	1	15	7	11	1
Pantepec	1	0	3	0	4	1	2	0	2	2	3	2	4	1	4	1	5	2	4	1	5	0	5	1	2	1	9	0	3	1	3	0	5	1	1	0	2	1	12	1	2	0
Pichucalco	23	1	28	6	29	6	27	6	30	13	21	8	33	13	19	4	31	14	30	12	15	1	18	0	24	9	28	5	23	2	21	1	13	1	13	0	17	2	24	4	25	3
Pijijiapan	28	2	29	8	39	10	29	11	53	10	35	12	40	16	23	5	59	12	36	11	39	15	24	4	27	13	22	6	31	5	30	3	26	7	23	3	31	10	30	7	29	2
El Porvenir	7	0	5	1	2	1	1	1	8	4	8	2	5	1	4	1	4	0	7	0	7	0	8	0	6	1	6	0	2	1	7	2	5	1	11	0	6	2	4	1	4	0
Villa Comaltitlán	30	6	19	7	25	8	20	7	24	12	27	9	18	3	23	9	26	3	23	7	27	7	20	1	19	6	11	2	12	1	17	2	15	1	17	0	14	3	17	2	24	4
Pueblo Nuevo Solistahuacán	19	6	17	10	22	12	21	4	26	7	29	19	24	20	29	12	30	17	18	7	20	8	16	2	23	6	27	12	16	2	28	14	20	7	16	0	12	5	21	9	20	4
Rayón	2	0	2	1	0	0	3	1	2	0	5	2	2	0	2	1	7	2	6	1	3	1	4	0	3	0	4	1	3	0	2	0	3	1	3	0	1	0	6	0	1	0
Reforma	16	1	23	3	24	8	28	4	37	6	22	7	31	8	30	11	23	8	27	5	24	9	15	3	30	6	27	5	13	4	22	0	37	8	27	2	22	1	27	4	31	4
Las Rosas	12	2	20	4	9	2	15	2	22	1	23	7	17	4	16	4	20	7	20	5	19	3	12	0	15	2	19	3	14	2	14	1	18	6	17	3	8	0	18	5	12	1
Sabanilla	4	0	9	1	2	0	12	7	8	1	10	2	8	4	14	1	17	3	8	0	8	3	12	1	10	2	8	0	16	0	13	0	11	2	16	1	23	3	17	2	20	1
Salto de Agua	17	4	14	1	16	2	23	9	21	6	45	16	22	9	21	7	25	8	25	10	10	1	29	3	18	7	23	5	17	2	23	1	26	8	18	1	8	1	23	4	22	1
San Cristóbal de las Casas	49	11	43	11	55	9	88	31	79	27	86	22	66	29	87	17	101	32	90	25	92	15	102	20	89	23	89	9	63	8	66	0	89	20	76	4	60	5	65	13	77	3
San Fernando	7	2	12	2	13	5	14	2	15	8	17	2	18	4	18	4	17	5	10	1	19	0	14	1	15	2	14	0	5	0	12	1	11	2	12	0	11	0	12	0	14	2
Siltepec	9	4	10	5	11	7	20	12	12	5	30	10	24	6	22	3	26	1	13	0	9	1	14	2	15	2	22	5	21	5	25	2	22	9	25	1	21	3	14	4	20	3
Simojovel	21	6	25	10	18	6	19	11	13	4	17	2	29	0	29	1	18	1	30	16	19	8	25	2	24	4	10	5	13	2	24	8	14	3	7	1	19	3	8	5	16	2
Sitalá	1	0	2	1	1	0	3	1	0	0	2	2	1	0	5	1	4	0	3	1	7	1	4	0	6	2	4	0	1	0	3	0	7	2	2	0	8	1	7	2	2	0
Socoltenango	7	1	10	2	10	4	10	2	9	1	3	0	6	2	9	3	7	2	11	5	6	0	6	0	6	1	4	1	5	0	5	0	4	1	10	0	2	1	7	3	8	1
Solosuchiapa	6	0	4	0	2	0	2	2	1	0	5	1	2	2	1	0	3	3	3	0	5	1	3	0	5	3	6	0	4	0	4	1	2	0	2	0	4	0	4	0	5	0
Soyaló	0	0	1	0	5	1	0	0	0	0	4	2	3	1	1	0	12	2	4	2	2	1	4	0	1	0	4	0	4	0	2	0	3	0	4	0	4	0	0	0	0	0
Suchiapa	7	3	7	3	6	1	4	0	14	2	6	2	6	1	3	1	9	4	8	1	9	0	5	0	13	2	10	0	5	0	11	2	13	0	5	0	8	0	7	2	11	0
Suchiate	41	1	44	7	39	1	39	1	37	3	39	10	31	4	29	7	54	19	44	19	29	9	22	0	41	19	34	13	23	3	30	7	32	17	30	4	29	12	55	17	67	17
Sunuapa	1	0	2	1	0	0	1	0	0	0	1	1	1	0	2	2	1	0	2	2	0	0	3	0	1	0	1	1	4	0	0	0	0	0	1	0	1	0	3	0	4	0
Tapachula	148	11	158	23	181	29	177	22	174	31	194	44	188	40	189	35	212	53	208	31	206	13	170	10	176	28	159	35	171	16	188	24	187	48	165	11	186	35	217	53	211	19
Tapalapa	7	3	2	2	5	3	5	5	9	9	4	4	8	6	3	1	4	0	2	0	1	0	0	0	0	0	2	0	9	1	6	0	3	0	3	1	0	0	3	1	2	0
Tapilula	11	0	8	2	5	0	4	0	5	0	16	3	7	3	4	1	5	4	15	2	9	3	4	0	4	1	3	1	9	1	3	1	5	0	6	1	4	1	7	4	4	0
Tecpatán	28	5	17	6	22	7	28	8	34	21	32	12	27	10	38	15	23	13	32	17	31	10	30	3	23	10	28	8	30	1	17	3	28	14	27	1	24	4	27	13	16	1
Tenejapa	10	2	14	2	3	0	7	2	6	1	7	2	3	0	6	0	7	1	8	1	11	1	16	0	12	1	11	1	19	0	11	1	26	4	10	0	10	1	9	0	25	3
Teopisca	9	0	7	1	5	1	9	2	7	1	16	3	11	4	9	4	10	7	16	8	11	3	19	1	7	1	13	3	9	1	9	0	17	1	8	0	20	2	13	2	7	0
Tila	8	0	14	0	10	0	11	2	20	0	33	6	39	17	28	4	31	3	29	7	36	11	20	3	35	6	30	4	15	2	52	7	35	7	12	0	35	4	44	7	39	0
Tonalá	72	9	53	17	45	14	68	19	56	16	45	16	57	18	53	22	59	23	56	15	48	12	50	14	53	13	44	15	39	7	42	14	40	4	39	3	62	2	40	6	36	4
Totolapa	1	0	0	0	4	2	1	1	2	1	1	1	2	1	1	1	4	1	1	0	2	0	0	0	2	1	4	1	6	0	3	0	1	0	2	0	1	0	0	0	0	0
La Trinitaria	21	0	20	4	20	4	22	2	16	0	36	8	21	6	29	4	23	3	27	7	30	5	34	0	28	2	25	4	33	6	24	2	30	6	28	2	27	1	26	6	42	3
Tumbalá	7	1	10	2	6	0	5	1	6	2	12	0	10	2	12	1	15	3	8	4	13	0	15	0	11	1	6	1	8	1	7	1	12	3	21	0	15	1	7	0	17	4
Tuxtla Gutiérrez	195	25	229	53	200	61	211	63	252	62	262	70	277	63	272	43	353	104	264	64	255	24	201	12	215	36	223	50	215	14	183	23	252	46	223	10	211	24	221	48	221	20
Tuxtla Chico	21	1	14	0	14	1	24	3	29	8	27	8	24	7	22	4	20	7	21	3	20	5	27	0	31	3	23	3	18	2	31	5	24	7	23	4	20	2	28	10	29	3
Tuzantán	11	3	15	9	11	1	16	6	19	5	15	7	19	8	20	4	17	4	13	1	13	3	20	3	22	4	14	4	14	3	14	4	19	2	11	1	17	3	21	3	15	1
Tzimol	5	0	2	0	2	1	4	0	8	1	11	0	6	1	6	0	4	0	7	1	10	2	11	0	4	1	8	1	2	0	9	2	8	0	4	0	7	0	6	1	13	0
Unión Juárez	6	1	6	1	7	1	9	1	8	0	6	0	6	2	7	2	4	0	8	0	10	3	8	1	8	1	1	0	5	0	1	0	10	3	6	0	1	0	6	1	5	0
Venustiano Carranza	27	9	30	4	50	10	37	10	19	2	39	10	36	9	35	3	28	13	30	6	23	7	36	2	27	7	29	8	24	3	32	9	25	5	19	2	29	4	21	2	29	1
Villa Corzo	35	0	43	4	30	0	29	3	52	16	57	20	59	12	56	17	56	19	70	14	37	11	27	2	38	8	56	22	44	3	28	7	31	3	30	2	40	4	40	8	27	2
Villaflores	73	10	47	10	37	7	67	15	67	14	61	18	54	15	44	9	58	15	52	7	52	4	48	1	41	6	33	2	40	4	52	11	50	7	47	1	60	5	40	5	46	4
Yajalón	7	2	7	3	13	2	12	5	17	3	22	4	18	4	20	3	17	5	19	3	9	2	13	0	15	7	7	1	22	4	16	0	22	3	14	1	16	0	15	2	28	2
San Lucas	3	0	4	2	2	1	1	0	1	1	0	0	3	0	2	0	3	1	3	2	2	0	1	0	2	1	2	1	3	0	0	0	2	0	5	0	3	1	2	1	1	0
Zinacantán	5	1	7	2	15	3	4	1	8	1	6	1	6	1	7	2	6	1	7	2	5	0	9	3	8	1	8	0	5	0	5	2	8	1	7	0	2	1	9	1	7	1
San Juan Cancuc	1	0	4	2	3	1	8	2	2	0	4	2	2	1	7	3	4	2	4	0	4	0	0	0	3	1	2	0	4	0	9	1	5	0	1	0	1	0	3	1	12	0
Aldama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	3	0	0	0	2	1	2	0
Benemérito de las Américas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	15	8	17	2	17	2	19	3	14	8	20	1	17	3	25	16	8	3
Maravilla Tenejapa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	3	0	2	0	1	0	6	1	11	3	2	0	9	2	2	0	5	0
Marqués de Comillas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	4	3	5	0	5	2	4	3	8	4	6	0	4	3	12	6	3	0
Montecristo de Guerrero	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	2	0	2	0	0	0	4	1	1	0	1	0	2	0	5	1
San Andrés Duraznal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	2	1	0	0	1	1	0	0	1	0	0	0	0	0	2	0
Santiago el Pinar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	3	1
No especificado	4	1	3	1	2	0	0	0	1	0	4	3	0	0	3	1	9	1	0	0	4	0	30	10	2	0	3	0	3	0	8	1	23	6	3	2	20	3	0	0	3	0
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otros municipios	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chihuahua	2461	306	2441	460	2349	481	2408	465	2430	560	2591	733	2312	649	2421	638	2453	616	2238	540	2291	592	2348	629	2471	626	2466	532	2416	453	2424	561	2723	632	2464	514	4792	2527	5632	3594	8831	6273
Ahumada	15	0	19	3	11	1	3	1	10	2	9	2	12	0	13	3	7	3	7	3	7	2	10	1	13	7	5	3	10	3	7	1	11	1	14	3	38	24	24	7	35	13
Aldama	13	0	7	0	5	0	13	2	9	0	21	5	12	2	5	1	10	0	10	2	18	0	10	0	3	0	15	2	9	2	12	1	7	0	13	5	35	15	16	5	36	17
Allende	6	0	5	1	4	0	5	0	3	0	7	2	4	0	2	1	7	2	11	2	4	0	9	3	5	0	8	2	2	1	7	0	5	0	2	0	10	1	5	0	3	0
Aquiles Serdán	1	0	4	0	2	0	4	0	4	0	3	0	3	0	3	0	2	0	1	0	3	0	1	0	0	0	3	0	4	0	1	0	4	0	2	1	4	1	7	3	36	27
Ascensión	27	6	19	3	24	2	16	4	19	1	18	5	14	2	22	8	19	8	10	3	19	3	14	8	25	11	25	4	22	6	27	3	28	8	36	9	77	41	29	20	66	52
Bachíniva	5	0	8	0	8	0	5	1	3	2	2	0	4	0	5	0	9	2	3	1	10	1	1	0	9	3	4	1	10	0	9	1	6	1	7	1	6	1	13	5	13	4
Balleza	16	3	27	8	12	7	22	4	17	4	23	7	29	8	27	8	22	6	21	9	18	7	19	8	20	6	21	8	27	4	24	8	27	3	33	6	28	9	21	9	76	45
Batopilas	21	3	33	2	37	11	24	5	31	11	33	12	31	12	45	17	36	12	60	26	38	21	30	18	41	15	26	14	18	5	27	13	33	10	23	9	21	6	19	5	28	21
Bocoyna	17	1	22	1	27	5	27	3	21	3	37	10	34	6	27	2	28	6	36	8	32	9	29	3	30	5	26	3	33	1	38	4	45	5	45	5	70	22	39	9	85	48
Buenaventura	17	3	15	0	11	3	16	0	17	1	16	0	19	2	19	2	30	2	13	1	15	1	12	1	15	4	24	1	17	1	24	1	19	0	20	1	39	4	25	3	40	15
Camargo	52	3	70	13	32	4	43	1	52	6	49	11	34	7	48	5	38	5	18	7	19	1	25	3	24	6	26	5	19	1	49	7	40	3	27	4	49	20	72	43	116	66
Carichí	6	1	7	1	8	2	3	1	9	1	10	3	3	0	3	0	6	0	8	0	7	2	10	1	5	1	22	4	12	3	5	0	9	1	15	1	12	1	20	2	10	2
Casas Grandes	18	2	19	5	11	3	10	2	4	0	17	8	8	1	11	1	12	1	7	1	13	6	10	6	12	0	10	0	7	2	6	1	12	1	12	4	21	9	11	4	17	12
Coronado	2	0	2	0	5	0	3	0	3	1	3	1	0	0	1	0	0	0	0	0	0	0	8	7	2	1	1	0	0	0	1	0	2	1	1	0	3	2	1	0	1	0
Coyame del Sotol	1	0	1	0	0	0	0	0	0	0	1	1	0	0	2	2	1	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	6	2	1	0	2	0
La Cruz	11	3	9	2	6	2	1	1	6	1	2	0	4	1	4	0	5	1	4	2	4	0	3	1	0	0	3	0	11	2	1	0	2	0	2	0	3	0	3	1	6	2
Cuauhtémoc	124	11	127	19	137	33	120	25	117	15	114	23	104	18	136	22	127	22	104	23	99	23	109	18	105	23	100	11	123	14	106	13	137	24	138	34	191	50	215	75	341	163
Cusihuiriachi	10	0	3	0	8	1	4	0	3	1	3	0	5	0	7	1	2	0	3	1	7	3	2	0	5	3	4	2	5	0	12	0	3	0	11	3	10	0	5	1	7	1
Chihuahua	600	72	472	91	466	62	466	53	443	71	459	74	349	72	380	56	458	54	400	52	435	66	408	85	379	71	448	64	423	45	488	82	562	93	442	58	787	390	963	506	1536	1055
Chínipas	16	7	27	24	31	24	23	16	13	11	16	9	20	14	18	16	15	5	11	7	4	3	12	8	15	10	17	13	5	5	15	10	23	16	15	6	16	3	10	0	17	12
Delicias	116	16	118	11	86	14	90	10	66	10	63	5	62	7	67	8	56	2	64	7	73	9	81	12	85	17	60	6	71	9	70	7	77	15	62	5	106	21	121	44	173	78
Dr. Belisario Domínguez	7	2	7	1	5	0	8	0	9	2	4	0	6	3	5	1	2	0	8	0	6	2	7	3	1	0	4	2	2	0	4	0	2	0	5	2	9	3	6	3	11	2
Galeana	3	0	11	3	4	0	6	0	5	1	3	0	2	0	3	0	4	2	3	0	2	1	8	1	8	0	6	1	4	0	4	1	10	0	3	1	7	1	7	3	5	1
Santa Isabel	10	1	11	0	6	1	5	0	4	0	8	0	2	0	3	0	1	0	3	0	5	0	5	1	4	1	1	0	4	0	5	1	3	0	4	1	13	1	5	2	17	6
Gómez Farías	20	4	12	0	12	2	11	0	6	1	10	1	7	1	7	0	19	0	5	1	7	1	4	0	13	2	5	1	4	0	8	0	6	0	15	3	10	3	11	1	13	6
Gran Morelos	8	1	1	0	8	0	6	2	9	1	7	0	7	1	3	0	5	2	6	2	5	0	2	1	2	0	3	1	1	0	8	2	3	0	2	0	9	7	2	0	9	5
Guachochi	63	16	62	21	59	10	45	17	86	28	61	20	59	26	62	26	71	26	80	18	60	14	65	16	72	20	78	27	83	27	124	40	93	35	67	8	83	28	78	33	176	92
Guadalupe	8	0	4	1	2	0	6	0	7	1	9	2	10	0	8	5	13	4	3	2	4	2	8	1	6	0	5	1	11	3	12	6	8	3	19	9	46	41	86	81	75	63
Guadalupe y Calvo	37	20	65	45	78	64	110	69	61	33	89	51	69	43	112	69	113	80	83	56	63	42	78	48	85	51	94	58	74	43	76	40	93	53	64	30	84	41	93	47	189	133
Guazapares	9	4	14	7	16	7	21	5	29	16	22	13	9	3	13	6	15	11	13	8	11	2	10	7	9	5	9	8	29	15	15	9	16	9	16	5	21	6	19	8	48	28
Guerrero	36	8	61	10	74	12	29	3	42	8	54	6	52	7	32	2	47	7	44	9	29	4	52	3	39	4	62	12	50	4	35	6	51	7	52	10	79	15	63	19	85	32
Hidalgo del Parral	83	14	103	16	91	24	92	23	100	32	102	23	91	28	79	20	81	16	90	19	78	17	70	20	66	8	72	12	64	11	66	10	74	13	77	13	128	48	133	70	210	134
Huejotitán	0	0	1	0	2	1	5	1	1	0	0	0	1	1	2	0	3	3	6	0	2	1	0	0	3	0	1	1	3	1	1	0	1	0	1	0	3	1	2	0	2	1
Ignacio Zaragoza	7	1	13	5	3	0	4	2	4	0	6	0	10	1	11	2	8	0	11	5	6	1	4	0	8	0	13	0	10	1	9	3	9	2	5	1	12	6	9	3	7	2
Janos	8	0	8	0	5	1	9	0	6	0	7	2	5	3	9	1	6	1	17	4	9	2	15	3	8	0	11	0	6	1	6	1	12	0	10	4	11	2	9	3	33	11
Jiménez	36	3	39	7	42	13	42	4	45	8	25	8	35	4	29	10	28	2	28	7	12	1	29	6	25	9	27	3	24	3	33	5	29	4	28	2	37	8	44	13	110	63
Juárez	616	46	590	70	607	57	715	113	782	202	903	325	880	286	836	249	806	245	710	139	829	243	843	240	982	262	880	198	840	178	781	212	864	216	842	189	2203	1518	2874	2289	4333	3589
Julimes	1	0	4	0	5	2	7	0	0	0	3	0	3	0	4	0	3	0	6	1	1	0	1	0	1	0	1	0	5	2	3	0	3	0	5	1	2	1	6	0	14	7
López	5	0	7	0	2	1	3	0	3	0	2	1	3	0	2	0	1	0	1	1	5	1	7	1	5	0	4	0	0	0	1	0	9	3	5	0	5	0	4	0	2	1
Madera	25	2	27	6	44	15	38	12	43	12	42	11	27	8	30	10	40	13	28	9	31	9	37	13	29	1	38	6	58	14	25	5	39	7	39	7	53	20	55	29	68	31
Maguarichi	3	0	0	0	1	0	4	0	2	2	0	0	1	1	4	1	1	1	3	0	0	0	2	2	0	0	5	1	1	0	1	0	2	0	6	1	2	1	10	4	8	4
Manuel Benavides	2	0	0	0	1	0	1	1	3	0	2	0	1	0	2	0	2	1	0	0	3	1	2	0	3	0	2	0	1	0	0	0	3	1	0	0	0	0	2	1	1	0
Matachí	6	0	7	1	2	0	2	0	3	0	7	0	4	0	5	0	1	0	3	1	2	0	3	1	9	0	0	0	1	0	1	0	9	2	1	0	5	1	5	2	3	0
Matamoros	1	0	8	2	6	2	5	0	5	1	6	2	2	0	4	0	2	0	5	1	1	0	3	0	5	0	4	0	5	1	5	3	3	0	10	2	5	2	4	2	5	3
Meoqui	51	3	31	4	41	5	45	8	33	1	24	0	15	5	26	2	17	2	18	1	18	5	20	3	28	5	25	1	35	2	25	3	24	2	18	1	51	10	36	10	104	63
Morelos	13	10	9	9	56	38	9	5	8	7	12	11	22	18	15	8	14	7	19	15	18	18	22	16	7	4	6	3	12	2	11	0	8	6	13	2	7	4	16	7	16	10
Moris	6	0	11	2	6	1	1	0	3	2	0	0	1	0	4	0	9	2	9	3	6	3	8	3	8	3	11	7	4	2	14	9	11	5	6	4	5	3	8	1	18	10
Namiquipa	39	6	38	4	30	2	20	4	17	5	32	10	29	4	20	2	21	5	22	8	23	6	26	8	21	3	21	0	16	4	12	2	24	2	29	8	36	8	44	25	36	13
Nonoava	9	3	4	3	0	0	4	3	1	1	2	0	0	0	3	2	0	0	7	3	5	0	1	0	2	0	5	1	7	2	10	0	7	0	3	2	2	1	5	1	3	2
Nuevo Casas Grandes	46	3	51	7	48	9	45	13	58	5	41	2	27	4	44	6	39	4	47	13	35	7	45	5	45	9	46	2	53	3	42	10	54	9	43	17	102	56	112	81	137	60
Ocampo	7	1	13	7	8	5	12	3	9	1	15	6	11	4	8	2	16	7	15	5	13	4	10	2	15	8	14	0	9	1	9	2	12	5	14	5	18	10	18	1	24	13
Ojinaga	19	4	33	6	20	2	27	6	20	4	27	10	21	4	27	10	21	5	20	5	21	7	12	4	18	5	20	5	20	2	17	4	20	8	12	1	36	21	39	14	54	29
Praxedis G. Guerrero	4	1	6	0	1	0	9	1	7	1	9	1	7	2	10	3	10	1	2	0	5	1	5	1	5	1	1	0	3	0	9	2	9	4	10	2	14	6	55	50	52	46
Riva Palacio	13	0	15	5	3	1	12	1	8	2	3	0	8	2	6	0	8	0	8	0	6	0	5	0	7	1	1	0	10	0	6	0	1	0	4	0	9	2	12	0	21	14
Rosales	12	0	15	3	13	1	8	0	9	1	2	0	9	1	13	2	3	1	9	2	13	0	9	2	8	1	8	0	13	0	4	0	10	1	7	1	11	4	13	2	32	13
Rosario	2	0	0	0	1	0	1	0	0	0	3	0	4	2	1	0	0	0	1	0	3	2	2	0	2	0	0	0	4	2	3	3	1	0	0	0	2	0	0	0	5	2
San Francisco de Borja	1	0	2	0	4	0	2	0	1	0	2	0	1	0	2	0	3	1	1	0	2	0	5	0	6	0	4	1	1	0	4	0	3	1	5	0	1	0	3	0	2	1
San Francisco de Conchos	3	0	8	3	4	1	1	0	0	0	4	0	0	0	2	0	1	0	2	2	4	0	3	0	1	0	4	2	3	0	3	0	2	0	2	0	0	0	5	2	3	2
San Francisco del Oro	7	0	11	2	11	2	6	0	7	0	5	1	0	0	4	1	9	1	5	2	4	3	9	0	6	0	2	2	3	0	4	0	4	2	1	1	4	1	3	3	10	4
Santa Bárbara	12	3	15	4	7	0	9	1	8	2	11	0	14	1	12	3	7	0	13	3	3	0	7	1	11	1	9	1	11	2	8	0	6	1	12	3	16	3	7	1	15	3
Satevó	6	0	9	2	5	0	10	1	4	1	6	0	1	0	3	2	4	1	2	0	7	3	2	2	10	3	4	0	6	0	5	0	8	0	5	0	14	2	7	6	6	3
Saucillo	38	0	45	2	30	0	33	2	34	5	25	4	20	1	25	2	20	4	16	5	29	5	16	3	17	3	22	3	24	0	20	1	27	4	25	4	40	5	26	5	52	24
Temósachic	22	4	22	4	7	2	17	3	6	2	9	2	8	0	11	4	10	2	14	7	9	2	7	2	7	3	9	3	4	1	7	0	7	0	10	1	9	0	16	7	19	10
El Tule	3	0	2	1	0	0	3	0	0	0	1	0	3	1	3	3	1	0	2	1	3	0	2	0	2	0	7	0	2	1	0	0	4	0	3	1	2	0	2	0	6	2
Urique	33	10	15	6	27	16	43	23	55	15	43	19	43	19	46	17	40	9	37	12	36	7	49	16	43	14	35	13	44	14	32	13	51	27	23	9	31	9	27	9	103	75
Uruachi	9	4	7	3	11	8	10	8	31	13	26	21	23	11	18	11	27	18	18	13	22	16	19	10	23	16	29	11	18	7	24	15	33	16	16	7	18	5	27	12	34	19
Valle de Zaragoza	15	1	5	1	8	1	7	1	5	2	8	3	7	2	5	2	7	0	2	0	8	0	3	0	0	0	4	0	5	0	2	1	3	2	3	1	5	1	3	1	5	3
No especificado	3	0	5	3	2	1	2	1	1	1	3	0	1	0	3	1	4	1	2	2	1	1	1	1	3	0	6	2	1	0	0	0	0	0	4	0	0	0	1	1	6	5
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otros municipios	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Distrito Federal	4651	1182	4915	1027	5122	1124	4742	1125	4585	1088	4792	1243	4514	1130	4678	1072	4367	1072	4033	901	3748	799	3893	857	3882	825	3956	860	3539	833	3617	750	3508	776	3500	763	3445	848	3435	911	3534	1022
Azcapotzalco	224	58	236	48	255	58	256	60	198	53	234	77	193	54	214	54	184	46	178	50	164	29	188	33	121	23	174	35	139	25	155	31	139	16	160	29	148	27	141	33	156	38
Coyoacán	240	61	281	47	72	14	313	59	264	64	265	74	271	58	298	60	237	52	241	49	217	38	259	48	271	39	201	35	244	51	257	34	184	33	212	29	199	41	181	50	209	49
Cuajimalpa de Morelos	71	16	63	9	636	178	83	15	65	16	83	15	74	17	60	8	93	13	54	5	71	10	61	16	62	12	39	8	60	9	55	9	52	10	42	5	60	11	51	10	58	14
Gustavo A. Madero	646	164	637	164	797	236	628	172	613	174	637	204	597	163	618	164	581	170	534	141	485	133	506	143	514	128	495	129	464	125	486	110	464	109	454	135	445	119	456	159	482	145
Iztacalco	218	43	223	46	101	23	231	56	198	47	243	66	202	56	217	61	195	53	150	39	163	23	176	39	149	29	156	35	176	41	152	34	150	31	159	28	166	44	138	35	160	51
Iztapalapa	686	185	834	222	61	8	774	253	812	265	886	313	826	253	827	243	810	233	761	205	699	203	708	199	760	220	777	211	696	202	704	158	723	191	714	187	672	176	719	215	767	260
